"zip","name","empflag","emp","qp1","ap","est"
"37317","Copperhill, TN","G",0,0,0,50
"37318","Cowan, TN",,214,864,3908,32
"37320","Cleveland, TN",,6709,34933,144136,220
"37321","Dayton, TN",,7721,32453,134765,335
"37322","Decatur, TN",,1173,4951,20121,65
"37323","Cleveland, TN",,721,2161,10549,151
"37324","Decherd, TN",,1441,5014,18897,84
"37325","Delano, TN",,38,88,364,11
"37326","Ducktown, TN",,486,1439,5619,28
"37327","Dunlap, TN",,2399,9239,39734,174
"37328","Elora, TN",,141,408,1649,10
"37329","Englewood, TN",,313,1157,4646,46
"37330","Estill Springs, TN",,311,1522,6614,54
"37331","Etowah, TN",,2136,9596,45293,129
"37332","Evensville, TN",,47,206,731,17
"37333","Farner, TN","C",0,0,0,3
"37334","Fayetteville, TN",,6657,29837,124415,513
"37335","Flintville, TN",,43,73,402,16
"37336","Georgetown, TN",,94,358,1412,28
"37337","Grandview, TN",,22,71,324,9
"37338","Graysville, TN",,73,288,1290,10
"37339","Gruetli Laager, TN",,51,151,782,15
"37340","Guild, TN",,4,10,58,3
"37341","Harrison, TN",,432,1604,6463,101
"37342","Hillsboro, TN",,104,511,2634,24
"37343","Hixson, TN",,7928,34127,147658,695
"37345","Huntland, TN",,196,713,3382,35
"37347","Jasper, TN",,1851,7537,29055,176
"37348","Kelso, TN",,24,57,274,11
"37350","Lookout Mountain, TN","E",0,0,0,52
"37351","Lupton City, TN","F",0,0,0,3
"37352","Lynchburg, TN",,645,3951,16373,56
"37353","Mc Donald, TN",,185,683,3225,26
"37354","Madisonville, TN",,1900,6667,27713,244
"37355","Manchester, TN",,5928,25551,103124,445
"37356","Monteagle, TN",,616,1796,7789,70
"37357","Morrison, TN",,2247,17547,72170,42
"37359","Mulberry, TN",,4,8,26,3
"37360","Normandy, TN",,41,116,546,9
"37361","Ocoee, TN",,235,477,2641,27
"37362","Oldfort, TN",,58,189,776,14
"37363","Ooltewah, TN",,2490,12421,53912,224
"37364","Cleveland, TN",,737,3048,13515,109
"37365","Palmer, TN",,38,115,344,12
"37366","Pelham, TN","C",0,0,0,5
"37367","Pikeville, TN",,1306,5539,23689,130
"37369","Reliance, TN",,26,37,177,10
"37370","Riceville, TN",,148,398,1775,28
"37371","Athens, TN",,2040,11476,50228,112
"37372","Saint Andrews, TN","B",0,0,0,4
"37373","Sale Creek, TN",,126,372,1550,20
"37374","Sequatchie, TN",,95,312,1210,9
"37375","Sewanee, TN",,296,752,3468,55
"37376","Sherwood, TN","A",0,0,0,3
"37377","Signal Mountain, TN",,1262,4343,19575,198
"37378","Smartt, TN",,64,486,2055,5
"37379","Soddy Daisy, TN",,1407,6096,27655,210
"37380","South Pittsburg, TN",,2610,11067,47407,139
"37381","Spring City, TN",,824,2902,12436,130
"37382","Summitville, TN","A",0,0,0,4
"37383","Sewanee, TN","G",0,0,0,1
"37385","Tellico Plains, TN",,742,1907,8728,89
"37387","Tracy City, TN",,371,1269,5588,67
"37388","Tullahoma, TN",,12852,71208,312383,712
"37389","Arnold Afb, TN",,1634,17236,64243,8
"37391","Turtletown, TN",,37,83,512,15
"37394","Viola, TN","A",0,0,0,1
"37395","Watts Bar Dam, TN","A",0,0,0,1
"37397","Whitwell, TN",,576,2990,13102,67
"37398","Winchester, TN",,4431,20767,88535,338
"37400","Chattanooga, TN",,11,47,152,4
"37401","Chattanooga, TN",,2865,21261,88230,106
"37402","Chattanooga, TN",,17493,140306,516442,596
"37403","Chattanooga, TN",,8290,57122,257645,373
"37404","Chattanooga, TN",,12569,76014,338514,578
"37405","Chattanooga, TN",,7982,46865,197373,500
"37406","Chattanooga, TN",,11063,65989,261348,347
"37407","Chattanooga, TN",,6061,37416,157050,316
"37408","Chattanooga, TN",,4639,25109,112170,230
"37409","Chattanooga, TN",,2086,12825,54823,129
"37410","Chattanooga, TN",,1643,12177,50668,59
"37411","Chattanooga, TN",,6923,29861,128570,543
"37412","Chattanooga, TN","I",0,0,0,558
"37414","Chattanooga, TN",,408,1896,8172,46
"37415","Chattanooga, TN",,7443,38572,168373,582
