"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"96793","WAILUKU, HI",,8059,56770,245344,716
"96795","WAIMANALO, HI",,954,5687,23518,74
"96796","WAIMEA, HI",,511,2910,11790,46
"96797","WAIPAHU, HI",,10968,66198,279066,789
"96801","HONOLULU, HI",,111,1319,5654,12
"96802","HONOLULU, HI",,42,371,1486,9
"96803","HONOLULU, HI",,14,51,342,5
"96804","HONOLULU, HI",,20,144,644,6
"96805","HONOLULU, HI",,2,22,133,4
"96806","HONOLULU, HI","E",0,0,0,8
"96807","HONOLULU, HI",,46,242,1003,10
"96808","HONOLULU, HI",,201,2127,8301,13
"96809","HONOLULU, HI",,93,592,3362,13
"96810","HONOLULU, HI",,122,684,2938,35
"96811","HONOLULU, HI","B",0,0,0,3
"96812","HONOLULU, HI",,944,14148,57881,21
"96813","HONOLULU, HI",,48516,479508,1971833,3054
"96814","HONOLULU, HI",,34974,222899,927047,2549
"96815","HONOLULU, HI",,32291,199652,807021,1607
"96816","HONOLULU, HI",,11349,64243,262225,1022
"96817","HONOLULU, HI",,32110,221359,927323,1974
"96818","HONOLULU, HI",,3674,18461,81169,338
"96819","HONOLULU, HI",,42552,355491,1509777,1946
"96820","HONOLULU, HI",,5922,50992,210278,57
"96821","HONOLULU, HI",,1386,7100,30103,225
"96822","HONOLULU, HI",,6407,37090,145759,432
"96823","HONOLULU, HI",,134,600,2593,26
"96824","HONOLULU, HI",,54,247,1207,18
"96825","HONOLULU, HI",,4418,20649,89001,375
"96826","HONOLULU, HI",,9850,91904,295288,935
"96827","HONOLULU, HI",,9,72,343,6
"96828","HONOLULU, HI",,36,189,866,10
"96830","HONOLULU, HI",,682,3912,15608,38
"96835","HONOLULU, HI",,11,20,73,5
"96836","HONOLULU, HI",,44,262,1502,11
"96837","HONOLULU, HI",,73,263,1328,29
"96839","HONOLULU, HI",,86,454,1503,17
"96842","HONOLULU, HI","A",0,0,0,2
"96843","HONOLULU, HI","B",0,0,0,1
"96844","HONOLULU, HI","A",0,0,0,1
"96847","HONOLULU, HI","A",0,0,0,2
"96848","HONOLULU, HI","C",0,0,0,3
"96849","HONOLULU, HI","A",0,0,0,1
"96850","HONOLULU, HI",,87,439,1825,5
"96853","HICKAM AFB, HI",,180,1248,5167,18
"96854","WHEELER ARMY AIRFIELD, HI",,202,2243,7766,11
"96857","SCHOFIELD BARRACKS, HI",,197,1039,3812,11
"96858","FORT SHAFTER, HI",,35,152,673,6
"96859","TRIPLER ARMY MEDICAL CTR, HI","G",0,0,0,11
"96860","PEARL HARBOR, HI",,337,1789,8129,39
"96861","CAMP H M SMITH, HI",,31,373,1507,5
"96862","BARBERS POINT N A S, HI",,133,640,1610,8
"96863","M C B H KANEOHE BAY, HI",,231,1398,5164,18
"97001","ANTELOPE, OR","B",0,0,0,6
"97002","AURORA, OR",,1959,13710,65081,179
"97004","BEAVERCREEK, OR",,485,3307,15259,97
"97005","BEAVERTON, OR",,39571,485732,1907437,1581
"97006","BEAVERTON, OR",,20781,222430,994602,952
"97007","BEAVERTON, OR",,5638,29150,130167,800
"97008","BEAVERTON, OR",,8345,99854,415514,630
"97009","BORING, OR",,2042,10447,46127,356
"97010","BRIDAL VEIL, OR","B",0,0,0,2
"97011","BRIGHTWOOD, OR",,34,126,832,14
"97013","CANBY, OR",,4815,27889,114905,509
"97014","CASCADE LOCKS, OR",,242,1136,4883,29
"97015","CLACKAMAS, OR",,23988,184486,761801,1183
"97016","CLATSKANIE, OR",,2002,19657,74808,120
"97017","COLTON, OR",,219,968,4433,60
"97018","COLUMBIA CITY, OR",,86,476,1809,16
"97019","CORBETT, OR",,102,489,2760,52
"97020","DONALD, OR",,199,1921,9837,16
"97021","DUFUR, OR",,25,71,459,12
"97022","EAGLE CREEK, OR",,370,2789,11391,52
"97023","ESTACADA, OR",,1062,6515,27312,211
"97024","FAIRVIEW, OR",,673,5595,28508,84
"97026","GERVAIS, OR",,315,1586,7715,53
"97027","GLADSTONE, OR",,2973,22167,98571,240
"97028","GOVERNMENT CAMP, OR",,827,2722,9507,22
"97029","GRASS VALLEY, OR","A",0,0,0,7
"97030","GRESHAM, OR",,13115,84121,367981,1074
"97031","HOOD RIVER, OR",,6353,30721,136889,677
"97032","HUBBARD, OR",,955,6041,25934,90
"97034","LAKE OSWEGO, OR",,4691,31346,137094,637
"97035","LAKE OSWEGO, OR",,15122,149490,639699,1252
