"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"13140","PORT BYRON, NY",,"H",288,"G",1254,"G",5923,62,"PORT BYRON","NY","CAYUGA"
"13141","PREBLE, NY",,"G",153,"G",1098,"G",4792,14,"PREBLE","NY","CORTLAND"
"13142","PULASKI, NY",,"G",1967,"G",17499,"G",70951,187,"PULASKI","NY","OSWEGO"
"13143","RED CREEK, NY",,"G",173,"G",909,"G",4199,36,"RED CREEK","NY","WAYNE"
"13144","RICHLAND, NY","B","S",0,"S",0,"G",386,8,"RICHLAND","NY","OSWEGO"
"13145","SANDY CREEK, NY",,"H",134,"H",755,"H",3410,24,"SANDY CREEK","NY","OSWEGO"
"13146","SAVANNAH, NY",,"G",166,"G",1638,"G",7127,19,"SAVANNAH","NY","WAYNE"
"13147","SCIPIO CENTER, NY","B","D",0,"D",0,"D",0,7,"SCIPIO CENTER","NY","CAYUGA"
"13148","SENECA FALLS, NY",,"H",3620,"H",42575,"H",164994,230,"SENECA FALLS","NY","SENECA"
"13152","SKANEATELES, NY",,"H",2264,"G",25083,"G",102138,261,"SKANEATELES","NY","ONONDAGA"
"13153","SKANEATELES FALLS, NY","G","D",0,"D",0,"D",0,16,"SKANEATELES FALLS","NY","ONONDAGA"
"13154","SOUTH BUTLER, NY","A","D",0,"D",0,"D",0,2,"SOUTH BUTLER","NY","WAYNE"
"13155","SOUTH OTSELIC, NY","B","D",0,"D",0,"D",0,7,"SOUTH OTSELIC","NY","CHENANGO"
"13156","STERLING, NY",,"H",46,"G",249,"G",1416,19,"STERLING","NY","CAYUGA"
"13157","SYLVAN BEACH, NY",,"G",116,"G",373,"H",3167,25,"SYLVAN BEACH","NY","ONEIDA"
"13158","TRUXTON, NY","C","S",0,"H",681,"G",1872,18,"TRUXTON","NY","CORTLAND"
"13159","TULLY, NY",,"G",959,"G",8094,"G",34677,110,"TULLY","NY","ONONDAGA"
"13160","UNION SPRINGS, NY",,"G",249,"G",1916,"G",8642,37,"UNION SPRINGS","NY","CAYUGA"
"13162","VERONA BEACH, NY","A","S",0,"H",66,"G",679,9,"VERONA BEACH","NY","ONEIDA"
"13163","WAMPSVILLE, NY",,"G",202,"H",1669,"H",7847,24,"WAMPSVILLE","NY","MADISON"
"13164","WARNERS, NY",,"H",797,"H",10167,"H",45363,37,"WARNERS","NY","ONONDAGA"
"13165","WATERLOO, NY",,"G",3773,"G",21819,"G",90108,298,"WATERLOO","NY","SENECA"
"13166","WEEDSPORT, NY",,"G",830,"G",6806,"G",28758,106,"WEEDSPORT","NY","CAYUGA"
"13167","WEST MONROE, NY",,"H",175,"H",1352,"H",6350,43,"WEST MONROE","NY","OSWEGO"
"13201","SYRACUSE, NY","G","D",0,"D",0,"D",0,17,"SYRACUSE","NY","ONONDAGA"
"13202","SYRACUSE, NY",,"G",18693,"G",262875,"G",984656,894,"SYRACUSE","NY","ONONDAGA"
"13203","SYRACUSE, NY",,"H",9175,"H",97736,"H",405078,339,"SYRACUSE","NY","ONONDAGA"
"13204","SYRACUSE, NY",,"G",10913,"G",104448,"G",436129,651,"SYRACUSE","NY","ONONDAGA"
"13205","SYRACUSE, NY",,"G",3076,"G",22174,"G",95719,229,"SYRACUSE","NY","ONONDAGA"
"13206","SYRACUSE, NY",,"G",8903,"G",84943,"G",349897,595,"SYRACUSE","NY","ONONDAGA"
"13207","SYRACUSE, NY",,"G",508,"G",2384,"G",11242,89,"SYRACUSE","NY","ONONDAGA"
"13208","SYRACUSE, NY",,"G",4204,"G",29183,"G",127223,409,"SYRACUSE","NY","ONONDAGA"
"13209","SYRACUSE, NY",,"G",4742,"G",56915,"G",218736,296,"SYRACUSE","NY","ONONDAGA"
"13210","SYRACUSE, NY",,"G",17194,"G",208751,"G",868016,503,"SYRACUSE","NY","ONONDAGA"
"13211","SYRACUSE, NY",,"G",3346,"G",33423,"G",144146,206,"SYRACUSE","NY","ONONDAGA"
"13212","SYRACUSE, NY",,"G",12000,"G",143070,"G",610205,606,"SYRACUSE","NY","ONONDAGA"
"13214","SYRACUSE, NY",,"G",9711,"G",89412,"G",367412,418,"SYRACUSE","NY","ONONDAGA"
"13215","SYRACUSE, NY",,"H",3077,"H",32040,"H",136089,209,"SYRACUSE","NY","ONONDAGA"
"13217","SYRACUSE, NY",,"H",104,"G",1372,"G",5477,10,"SYRACUSE","NY","ONONDAGA"
"13218","SYRACUSE, NY",,"G",19,"H",163,"H",894,4,"SYRACUSE","NY","ONONDAGA"
"13219","SYRACUSE, NY",,"G",4790,"G",24100,"G",100400,331,"SYRACUSE","NY","ONONDAGA"
"13220","SYRACUSE, NY",,"H",424,"G",3486,"G",13934,14,"SYRACUSE","NY","ONONDAGA"
"13221","SYRACUSE, NY","F","D",0,"D",0,"D",0,22,"SYRACUSE","NY","ONONDAGA"
"13224","SYRACUSE, NY",,"G",2811,"G",18484,"G",77227,173,"SYRACUSE","NY","ONONDAGA"
"13244","SYRACUSE, NY","J","D",0,"D",0,"D",0,13,"SYRACUSE","NY","ONONDAGA"
"13250","SYRACUSE, NY","B","D",0,"D",0,"D",0,1,"SYRACUSE","NY","ONONDAGA"
"13261","SYRACUSE, NY","B","D",0,"D",0,"D",0,2,"SYRACUSE","NY","ONONDAGA"
"13290","SYRACUSE, NY",,"G",3076,"G",11781,"G",45981,141,"SYRACUSE","NY","ONONDAGA"
"13301","ALDER CREEK, NY","B","S",0,"H",188,"H",801,5,"ALDER CREEK","NY","ONEIDA"
"13302","ALTMAR, NY",,"G",44,"G",207,"H",891,11,"ALTMAR","NY","OSWEGO"
"13303","AVA, NY",,"G",16,"G",80,"G",252,7,"AVA","NY","ONEIDA"
"13304","BARNEVELD, NY",,"H",394,"G",2802,"G",13074,64,"BARNEVELD","NY","ONEIDA"
"13305","BEAVER FALLS, NY",,"G",127,"H",1808,"H",7529,13,"BEAVER FALLS","NY","LEWIS"
"13308","BLOSSVALE, NY",,"H",215,"H",2230,"H",9200,30,"BLOSSVALE","NY","ONEIDA"
"13309","BOONVILLE, NY",,"G",979,"G",6036,"G",26536,139,"BOONVILLE","NY","ONEIDA"
"13310","BOUCKVILLE, NY","C","S",0,"H",886,"G",4401,18,"BOUCKVILLE","NY","MADISON"
"13312","BRANTINGHAM, NY",,"H",24,"G",156,"G",904,6,"BRANTINGHAM","NY","LEWIS"
"13313","BRIDGEWATER, NY","B","S",0,"S",0,"H",906,9,"BRIDGEWATER","NY","ONEIDA"
"13314","BROOKFIELD, NY","A","S",0,"H",60,"G",479,9,"BROOKFIELD","NY","MADISON"
"13315","BURLINGTON FLATS, NY","B","S",0,"H",507,"H",1893,7,"BURLINGTON FLATS","NY","OTSEGO"
"13316","CAMDEN, NY",,"H",1290,"H",9703,"H",47329,118,"CAMDEN","NY","ONEIDA"
"13317","CANAJOHARIE, NY",,"G",591,"G",4810,"G",20054,58,"CANAJOHARIE","NY","MONTGOMERY"
"13318","CASSVILLE, NY",,"H",21,"H",102,"H",532,7,"CASSVILLE","NY","ONEIDA"
"13319","CHADWICKS, NY",,"H",257,"G",1938,"G",8209,25,"CHADWICKS","NY","ONEIDA"
"13320","CHERRY VALLEY, NY",,"G",108,"G",509,"G",2648,34,"CHERRY VALLEY","NY","OTSEGO"
"13321","CLARK MILLS, NY","B","D",0,"D",0,"D",0,10,"CLARK MILLS","NY","ONEIDA"
"13322","CLAYVILLE, NY","C","S",0,"S",0,"H",9255,21,"CLAYVILLE","NY","ONEIDA"
"13323","CLINTON, NY",,"H",4454,"H",58336,"H",197664,244,"CLINTON","NY","ONEIDA"
"13324","COLD BROOK, NY",,"H",35,"H",162,"H",1137,16,"COLD BROOK","NY","HERKIMER"
"13325","CONSTABLEVILLE, NY",,"G",59,"H",404,"G",1401,20,"CONSTABLEVILLE","NY","LEWIS"
"13326","COOPERSTOWN, NY",,"H",4491,"H",64923,"H",265631,222,"COOPERSTOWN","NY","OTSEGO"
"13327","CROGHAN, NY",,"G",168,"G",966,"G",4045,45,"CROGHAN","NY","LEWIS"
"13328","DEANSBORO, NY","B","D",0,"D",0,"D",0,16,"DEANSBORO","NY","ONEIDA"
"13329","DOLGEVILLE, NY",,"H",542,"H",3862,"H",15964,68,"DOLGEVILLE","NY","HERKIMER"
"13331","EAGLE BAY, NY",,"H",85,"H",475,"H",2285,19,"EAGLE BAY","NY","HERKIMER"
"13332","EARLVILLE, NY",,"G",120,"H",555,"H",2613,39,"EARLVILLE","NY","CHENANGO"
"13333","EAST SPRINGFIELD, NY","A","D",0,"D",0,"D",0,2,"EAST SPRINGFIELD","NY","OTSEGO"
"13334","EATON, NY","A","S",0,"H",125,"H",581,7,"EATON","NY","MADISON"
"13335","EDMESTON, NY","G","D",0,"D",0,"D",0,31,"EDMESTON","NY","OTSEGO"
"13337","FLY CREEK, NY",,"G",69,"G",383,"G",1857,23,"FLY CREEK","NY","OTSEGO"
"13338","FORESTPORT, NY","C","S",0,"H",1052,"H",4592,23,"FORESTPORT","NY","ONEIDA"
"13339","FORT PLAIN, NY",,"G",418,"G",2868,"G",12446,86,"FORT PLAIN","NY","MONTGOMERY"
"13340","FRANKFORT, NY",,"G",1425,"G",12647,"G",57227,123,"FRANKFORT","NY","HERKIMER"
"13341","FRANKLIN SPRINGS, NY","B","D",0,"D",0,"D",0,2,"FRANKLIN SPRINGS","NY","ONEIDA"
"13342","GARRATTSVILLE, NY","A","S",0,"S",0,"H",344,3,"GARRATTSVILLE","NY","OTSEGO"
"13343","GLENFIELD, NY",,"H",48,"H",306,"G",1451,21,"GLENFIELD","NY","LEWIS"
"13345","GREIG, NY","A","D",0,"D",0,"D",0,2,"GREIG","NY","LEWIS"
"13346","HAMILTON, NY",,"H",3595,"H",29295,"H",121062,162,"HAMILTON","NY","MADISON"
"13348","HARTWICK, NY",,"G",123,"H",1009,"G",4267,24,"HARTWICK","NY","OTSEGO"
"13350","HERKIMER, NY",,"G",3855,"H",22866,"H",95858,263,"HERKIMER","NY","HERKIMER"
